group	item_nr	item_version	dimension_group	distinction_dimension	dimension	agens_gender	formality	modality	agens	verb	obj_1	obj_2	sentence	comment												
1	1	a	1	spon_prep	spontaneous	m	formal	speak	Александр Андреевич	разговаривает 	с полицейским	на месте аварии.	Александр Андреевич разговаривает с полицейским на месте аварии.													
2	2	a	1	spon_prep	spontaneous	m	formal	speak	Сергей Дмитриевич	высказывает	своё мнение	корреспонденту.	Сергей Дмитриевич высказывает своё мнение корреспонденту.													
2	1	b	1	spon_prep	spontaneous	m	formal	hear	Александр Андреевич	выслушивает	полицейского	на месте аварии.	Александр Андреевич выслушивает полицейского на месте аварии.													
1	2	b	1	spon_prep	spontaneous	m	formal	hear	Сергей Дмитриевич	выслушивает	мнение	корреспондента.	Сергей Дмитриевич выслушивает мнение корреспондента.													
1	3	a	1	spon_prep	spontaneous	m	formal	write	Илья	пишет	информацию	в анкету.	Илья пишет информацию в анкету.													
2	4	a	1	spon_prep	spontaneous	m	formal	write	Константин	записывает	данные	в опрос.	Константин записывает данные в опрос.													
2	3	b	1	spon_prep	spontaneous	m	formal	read	Илья	читает	информацию	в анкете.	Илья читает информацию в анкете.													
1	4	b	1	spon_prep	spontaneous	m	formal	read	Константин	читает	данные	опроса.	Константин читает данные опроса.													
1	5	a	1	spon_prep	spontaneous	m	informal	speak	Максим	пересказывает	содержание	фильма.	Максим пересказывает содержание фильма.													
2	6	a	1	spon_prep	spontaneous	m	informal	speak	Фёдор	рассказывает	сплетни	другу.	Фёдор рассказывает сплетни другу.													
2	5	b	1	spon_prep	spontaneous	m	informal	hear	Максим	слушает	содержание	фильма.	Максим слушает содержание фильма.													
1	6	b	1	spon_prep	spontaneous	m	informal	hear	Фёдор	слушает	сплетни	друга.	Фёдор слушает сплетни друга.													
1	7	a	1	spon_prep	spontaneous	m	informal	write	Никита	пишет	записку	соседу.	Никита пишет записку соседу.													
2	8	a	1	spon_prep	spontaneous	m	informal	write	Андрей	записывает	идею	на бумажку.	Андрей записывает идею на бумажку.													
2	7	b	1	spon_prep	spontaneous	m	informal	read	Никита	читает	записку	соседа.	Никита читает записку соседа.													
1	8	b	1	spon_prep	spontaneous	m	informal	read	Андрей	читает	идею	с бумажки.	Андрей читает идею с бумажки.													
1	9	a	1	spon_prep	spontaneous	f	formal	speak	Анастасия Сергеевна	разговаривает 	с сотрудником	на заседании.	Анастасия Сергеевна разговаривает с сотрудником на заседании.													
2	10	a	1	spon_prep	spontaneous	f	formal	speak	Алиса Никитична	рассказывает	начальнику	о новой идее.	Алиса Никитична рассказывает начальнику о новой идее.													
2	9	b	1	spon_prep	spontaneous	f	formal	hear	Анастасия Сергеевна	выслушивает	сотрудника	на заседании.	Анастасия Сергеевна выслушивает сотрудника на заседании.													
1	10	b	1	spon_prep	spontaneous	f	formal	hear	Алиса Никитична	слушает	новую идею	начальника.	Алиса Никитична слушает новую идею начальника.													
1	11	a	1	spon_prep	spontaneous	f	formal	write	Ольга Владимировна	пишет	заметку	студенту.	Ольга Владимировна пишет заметку студенту.													
2	12	a	1	spon_prep	spontaneous	f	formal	write	Елена Александровна	пишет	ответ	на экзамене.	Елена Александровна пишет ответ на экзамене.													
2	11	b	1	spon_prep	spontaneous	f	formal	read	Ольга Владимировна	читает	заметку	студента.	Ольга Владимировна читает заметку студента.													
1	12	b	1	spon_prep	spontaneous	f	formal	read	Елена Александровна	читает	ответ	на экзамене.	Елена Александровна читает ответ на экзамене.													
1	13	a	1	spon_prep	spontaneous	f	informal	speak	Ирина	высказывает	недовольство	коллеге.	Ирина высказывает недовольство коллеге.													
2	14	a	1	spon_prep	spontaneous	f	informal	speak	Екатерина	делает	громкое замечание	брату.	Екатерина делает громкое примечание брату.													
2	13	b	1	spon_prep	spontaneous	f	informal	hear	Ирина	выслушивает	недовольство	коллеги.	Ирина выслушивает недовольство коллеги.													
1	14	b	1	spon_prep	spontaneous	f	informal	hear	Екатерина	выслушивает	громкое замечание	брата.	Екатерина выслушивает громкое примечание брата.													
1	15	a	1	spon_prep	spontaneous	f	informal	write	Анна	пишет	шутку	в чат.	Анна пишет шутку в чат.													
2	16	a	1	spon_prep	spontaneous	f	informal	write	Мария	пишет	смс	знакомой.	Мария пишет смс знакомой.													
2	15	b	1	spon_prep	spontaneous	f	informal	read	Анна	читает	шутку	в чате.	Анна читает шутку в чате.													
1	16	b	1	spon_prep	spontaneous	f	informal	read	Мария	читает	смс	знакомой.	Мария читает смс знакомой.													
1	17	a	2	spon_prep	prepared	m	formal	speak	Иван Андреевич	рассказывает	хронику	города.	Иван Андреевич рассказывает хронику города.													
2	18	a	2	spon_prep	prepared	m	formal	speak	Александр Романович	рассказывает	биографию	писателя.	Александр Романович рассказывает биографию писателя.													
2	17	b	2	spon_prep	prepared	m	formal	hear	Иван Андреевич	слушает	хронику	города.	Иван Андреевич слушает хронику города.													
1	18	b	2	spon_prep	prepared	m	formal	hear	Александр Романович	слушает	биографию	писателя.	Александр Романович слушает биографию писателя.													
1	19	a	2	spon_prep	prepared	m	formal	write	Сергей Дмитриевич	пишет	грамоту	выпускнику.	Сергей Дмитриевич пишет грамоту выпускнику.													
2	20	a	2	spon_prep	prepared	m	formal	write	Екатерина Андреевна	пишет	показание	в суд.	Екатерина Андреевна пишет показание  в суд.													
2	19	b	2	spon_prep	prepared	m	formal	read	Сергей Дмитриевич	читает	грамоту	выпускника.	Сергей Дмитриевич читает грамоту выпускника.													
1	20	b	2	spon_prep	prepared	m	formal	read	Екатерина Андреевна	читает	показание	в суде.	Екатерина Андреевна читает показание в суде.													
1	21	a	2	spon_prep	prepared	m	informal	speak	Андрей	рассказывает	анекдот	в баре.	Андрей рассказывает анекдот в баре.													
2	22	a	2	spon_prep	prepared	m	informal	speak	Дмитрий	произносит	речь	в кругу друзей.	Дмитрий произносит речь в кругу друзей.													
2	21	b	2	spon_prep	prepared	m	informal	hear	Андрей	слушает	анекдот	в баре.	Андрей слушает анекдот в баре.													
1	22	b	2	spon_prep	prepared	m	informal	hear	Дмитрий	слушает	речь	в кругу друзей.	Дмитрий слушает речь в кругу друзей.													
1	23	a	2	spon_prep	prepared	m	informal	write	Максим	пишет	признание	любимой.	Максим пишет признание любимой.													
2	24	a	2	spon_prep	prepared	m	informal	write	Иван	пишет	письмо	приятелю.	Иван пишет письмо приятелю.													
2	23	b	2	spon_prep	prepared	m	informal	read	Максим	читает	признание	любимой.	Максим читает признание любимой.													
1	24	b	2	spon_prep	prepared	m	informal	read	Иван	читает	письмо	приятеля.	Иван читает письмо приятеля.													
1	25	a	2	spon_prep	prepared	f	formal	speak	Алиса Егоровна	сообщает	приговор	осуждённому.	Алиса Егоровна сообщает приговор осуждённому.													
2	26	a	2	spon_prep	prepared	f	formal	speak	Мария Алексеевна	говорит	слова благодарности	учителю.	Мария Алексеевна говорит слова благодарности учителю.													
2	25	b	2	spon_prep	prepared	f	formal	hear	Алиса Егоровна	слушает	приговор 	осуждённого.	Алиса Егоровна слушает приговор осуждённого.													
1	26	b	2	spon_prep	prepared	f	formal	hear	Мария Алексеевна	слушает	слова благодарности	учителя.	Мария Алексеевна слушает слова благодарности учителя.													
1	27	a	2	spon_prep	prepared	f	formal	write	Виктория Ивановна	пишет	мемуары	в журнал.	Виктория Ивановна пишет мемуары в журнал.													
2	28	a	2	spon_prep	prepared	f	formal	write	Елизавета Никитовна	пишет	диссертацию	по биологии.	Елизавета Никитовна пишет диссертацию по биологии.													
2	27	b	2	spon_prep	prepared	f	formal	read	Виктория Ивановна	читает	мемуары	в журнале.	Виктория Ивановна читает мемуары в журнале.													
1	28	b	2	spon_prep	prepared	f	formal	read	Елизавета Никитовна	читает	диссертацию	по биологии.	Елизавета Никитовна читает диссертацию по биологии.													
1	29	a	2	spon_prep	prepared	f	informal	speak	Татьяна 	произносит	тост	на празднике.	Татьяна произносит тост на празднике.													
2	30	a	2	spon_prep	prepared	f	informal	speak	Кристина	оставляет	сообщение	на автоответчике.	Кристина оставляет сообщение на автоответчике.													
2	29	b	2	spon_prep	prepared	f	informal	hear	Татьяна 	слушает	тост	на празднике.	Татьяна слушает тост на празднике.													
1	30	b	2	spon_prep	prepared	f	informal	hear	Кристина	прослушивает	сообщение	на автоответчике.	Кристина прослушивает сообщение на автоответчике.													
1	31	a	2	spon_prep	prepared	f	informal	write	Валерия	пишет	историю	для детей.	Валерия пишет историю для детей.													
2	32	a	2	spon_prep	prepared	f	informal	write	Анна	пишет	сказку	дочери.	Анна пишет сказку для дочери.													
2	31	b	2	spon_prep	prepared	f	informal	read	Валерия	читает	историю	для детей.	Валерия читает историю для детей.													
1	32	b	2	spon_prep	prepared	f	informal	read	Анна	читает	сказку	дочери.	Анна читает сказку своей дочери.													
1	33	a	3	info_elab	informational	m	formal	speak	Дмитрий Сергеевич	объясняет	детали	финансового плана.	Дмитрий Сергеевич объясняет детали финансового плана.													сведение
2	34	a	3	info_elab	informational	m	formal	speak	Александр Андреевич	сообщает	о своём увольнении 	на собрании.	Александр Андреевич сообщает о своём увольнении на собрании.													событие
2	33	b	3	info_elab	informational	m	formal	hear	Дмитрий Сергеевич	слушает	объяснение деталей	финансового плана.	Дмитрий Сергеевич слушает объяснение деталей финансового плана.													итоги
1	34	b	3	info_elab	informational	m	formal	hear	Александр Андреевич	слушает	сообщение об увольнении 	на собрании.	Александр Андреевич слушает сообщение об увольнении на собрании.													репортаж
1	35		3	info_elab	informational	m	formal	write	Евгений Владимирович	пишет	очерк	в газету.	Евгений Владимирович пишет очерк в газету.													роман
2	36		3	info_elab	informational	m	formal	write	Даниил Павлович	пишет	аттестат	сотруднику.	Даниил Павлович пишет аттестат сотруднику.													отчет
2	35		3	info_elab	informational	m	formal	read	Евгений Владимирович	читает	очерк	в газете.	Евгений Владимирович читает очерк в газете.													
1	36		3	info_elab	informational	m	formal	read	Даниил Павлович	читает	аттестат	сотрудника.	Даниил Павлович читает аттестат сотрудника.													фельетон
1	37		3	info_elab	informational	m	informal	speak	Андрей	рассказывает	жене	свои планы на вечер.	Андрей рассказывает жене свои планы на вечер.													
2	38		3	info_elab	informational	m	informal	speak	Кирилл	посылает	голосовое сообщение	деду.	Кирилл посылает голосовое сообщение деду.													голосовое сообщение
2	37		3	info_elab	informational	m	informal	hear	Андрей	слушает	планы	жены на вечер.	Андрей слушает планы жены на вечер.													весть
1	38		3	info_elab	informational	m	informal	hear	Кирилл	слушает	голосовое сообщение	деда.	Кирилл слушает голосовое сообщение деда.													
1	39	a	3	info_elab	informational	m	informal	write	Михаил	пишет	публикацию	в Фейсбуке.	Михаил пишет публикацию в Фейсбуке.													
2	40	a	3	info_elab	informational	m	informal	write	Павел	пишет	сообщение	другу.	Павел пишет сообщение другу.													слова
2	39	b	3	info_elab	informational	m	informal	read	Михаил	читает	публикацию	в Фейсбуке.	Михаил читает публикацию в Фейсбуке.													надпись
1	40	b	3	info_elab	informational	m	informal	read	Павел	читает	сообщение	другу.	Павел читает сообщение  другу.													
1	41	a	3	info_elab	informational	f	formal	speak	Елена Александровна	объясняет	процедуру	эксперимента.	Елена Александровна объясняет процедуру эксперимента.													
2	42	a	3	info_elab	informational	f	formal	speak	София Михайловна	рассказывает	проблему	руководителю.	София Михайловна рассказывает проблему руководителю.													решение
2	41	b	3	info_elab	informational	f	formal	hear	Елена Александровна	слушает	объяснение процедуры	эксперимента.	Елена Александровна слушает объяснение процедуры эксперимента.													оценку
